"review_id","reviewer_name","review_rating","review_title","review_date","review_content","book_id"
27,"John A",5,"Well written and easy to follow and understand.","2020-12-17","Personally, it will be a good reference to always have available.  Wish I had this available earlier in my education.  Packed with goodies for those not being or wanting to be professional statisticians.",5
28,"M. Bryant",4,"nothing new with data science, but does show you how to ""game"" kaggle","2023-06-02","This won't teach you anything new if you already have formal data science/ML teaching and experience, it may show you a few packages here and there you may not be familiar with, but there are better ways to stay on top of new things. Otherwise, this book does what the authors claim. It gives you strategies to ""game"" the system in Kaggle and give you an edge. The authors claim many times in the book , ""this wouldn't work in a real life situation""... which is good. This book is about kaggle and how to win, but if you were expecting something eye opening with regards to data science and machine learning you will be somewhat disappointed. If you are new to data science, this would be a good resource as long as you understand that some things shouldn't  be done in the real world.",6
29,"Vicente Bramadasbull",5,"Ideal for beginners in data science","2023-08-08","Kaggle is a great platform, but not knowing how to take advantage of it from the first minute can be the worst mistake you can make. This book is excellent since it addresses critical issues that are often overlooked by beginners.",6
30,"Matthew Emerick",5,"From Kaggle to Career in One Book","2022-04-22","I was wary of reading this book, let alone reviewing it.  I've seen a LOT of people who are so into Kaggle that they don't understand that real-world data is FAR messier, complicated, and requires a lot of work before you get to the fun of modeling. I didn't want my review to help fuel more of that thinking.",6
31,"Data Science Director",5,"Rich, informative text.","2022-12-05","I've read this cover to cover and I think it's a great book, and it's worth a read. Winning something on Kaggle is notoriously difficult (especially these days), but this book offers a glimpse into the minds of Kaggle Grandmasters. Is there a secret sauce? Not really. It's just a lot of hard work. What particularly I liked about this book? I really liked chapters on hyperparameters tuning, chapter on ensembling, tabular chapter is pretty good, and I liked data augmentation for NLP (it's rare!). I hope this helps!",6
32,"alejandro",5,"Covers the ""must knows"" of a data science competition","2022-06-25",NULL,6
33,"Amazon Customer",5,"I received my book today. Sounds very interesting. My journey start right now","2022-05-13",NULL,6
34,"Sandy Che",1,"Not for experienced","2023-03-18","Good for freshers and not for experienced data scientists",6
35,"Samuel de Zoete",5,"Beyond Kaggle, a must read for every data scientist","2023-01-14","I found that the book is beyond even a very comprehensive overview for Kaggle competitions. The Kaggle Book indeed shows how to register, setting up your notebook, submit your results, perform data exploration, use evaluation functions, build your models or ensembles, etc. Anything you need to start and win a competition.",6
36,"WU.",5,"Read before you Kaggle!","2022-04-26","This is the first book that I've come across that is singularly focused on the rules, format, tips, and best practices for Kaggle ML/Data Science competitions. As such, this book is well-deserving of your dollars and attention.",6
37,"Adu",5,"A great book for people want to start Kaggle","2022-07-14","Kaggle is the most famous data science competition platform. Personally I started Kaggle around 2017 and since that I have learnt a lot of machine learning techniques through participating the competitions on Kaggle. As a student at that time, the biggest challenge for students learning machine learning algorithms is there is no good way to get your hand dirty: it is very difficult to get real-world dataset and work on a real world machine learning problem. Kaggle closed this gap by introducing a data science competition hosted by industry leaders with real world dataset.",6
38,"eltjim",4,"Product great–Amazon packaging not so much","2022-08-01","Great book, delivered on time. Unfortunately, whoever packed it at the fulfillment center neglected to pad it with paper or sealed air pillows. As a result, the front cover was damaged (creased).",7
39,"Camilla Covington",4,"Condition","2022-01-14","I received the book on time; however the book corners were bent. Place a hard back book on top to try and flatten corners out.",7
40,"Rob McCormick",5,"Thorough coverage with great example problems","2022-03-05","I like the comprehensive coverage of the material and the extremely relevant examples",7
41,"Hredheadi",5,"VINE VOICE","2022-10-21","I had to buy this for a Data Analysis class but I’m so glad I did. It is a great tool to help teach the additional skills available in Excel. I highly recommend it",7
42,"Esteban Ceniceros",5,"","2023-01-28","Muy bueno pero si eres medio avanzado está tedioso",7
43,"Sergio",5,"","2022-07-12","Bello e ben strutturato",7
44,"Luis lopes",5,"","2022-07-25","Just started reading. Each formula has examples and explanation using different parameters. Easy to follow the concepts. There are exercises online with solution so that can practice.",7
45,"Eduardo Sao Marcos",5,"","2022-08-05","Fornecdor sério",7
46,"Cliente de Amazon",5,"","2022-09-06","Teoría y práctica. Excel a buen nivel. Para recordar, aprender y mejorar.",7
47,"Anon",1,"","2023-06-10","Half the examples are wrong, terribly laid out, no consistent style and good luck finding anything specifically useful.",7
63,"Reyvik Shawn",5,"Coursework","2019-07-29","Purchased for a class",10
64,"Tiny",5,"Great text","2022-05-18","Accurately covers multiple approaches to doing a qualitative research project.  I used this in my class, and in preparing for my dissertation based on interviewing and quallitative research.",10
65,"Animatum Est",4,"","2021-03-23","Experiencia en estudios de posgrado (versión impresa, pasta blanda)",10
66,"Amazon-Kunde",5,"","2019-08-24","The Product is well structured and contains good descriptions of how qualitative data analysis is done. I as a student like the setup and logic.  it isn't dry duo the theory instead  it is made to be interesting and helpful if one needs to do a case study or a qualitative  data analysis.  So for people  interested in this topic it will be good for. Anybody else not into this topic shouldn't  use it",10
67,"Benjamin",5,"","2020-04-30","Quick delivery, good quality",10
68,"Mabel",5,"Great purchase!","2023-02-18","I gifted this to my cousin because he is almost done with college and wants to get more into Data Analysis. The day I gave it to him he started with the book and a couple days later told me how helpful it’s been for him already",11
48,"R. Geist",4,"a really good solid start in how to look at numerical data and avoid falling into common interpretative pit falls.","2013-01-15","I got the book promptly.  It has that softbound textbook feel.  but good binding not cheap or ready to fall apart.  the intormation in it so far seems interesting and well organized.  its in the ""head first format"" which means there is a lot of nice visual lay out and side notes and some graphics to make understanding the concepts by seeing them when possible.  I like that format.  It is still pretty clean and gets to the point.  but I have only read and used so much of it at this point so I cannot go much farther into the content than that.  -- in short I think it is a solid book to get if one wants to better understand how to interpret social science numbers,  or other scientific numbers that they are shown in a way that they are wise to various ways that data can be spiked and spiced.  how in depth I cannot comment on as I have not fully digested the book.  But it is a book that is designed to be both read and used as a topical reference.  And it has the ""Head First"" style keeping things clean but providing insightful commentary, context and graphical illustrations where it might really speed up or enhance understanding of a particular idea or complicated example.  it also uses bolding in areas where you can pay attention to the new vocabulary you might want to learn in order to lay the ground work for even more technical education in data analysis.  it even has a chapter where it goes over some of the more obscure plug ins for excel that are there for helping a person analyze data.  I would basically treat this book as a nice survey of both the human technical sides of data analysis.  it also covers things like data collection or effective data presentation,  and as I said it refers to several readily available tools like excel for example and how they can be used by someone who wanted to know how to leverage their computer in order tame and extract meaning from data they have been given to interpret.  -- I think that its a useful primer  that is like a survey course in the subject sans the professor.  But how good each section is I cannot comment on as I have only started with the book for a several weeks.  but  what I did read I found completely intelligible and because I am not a total novice at looking at Data,  there were times I could use its nice formatting to skip past explanations I did not need because I already was familiar with them.  If I fall in love with the book I may come back and say so and make my stars 5 instead of a 4 but at this point I would highly recommend this book for anyone who wanted a nice primer that went into to a very serviceable level of detail for a primer or survey type information source.",8
49,"Onlydole",5,"Wonderful Starting Point","2013-01-19","This was a beautiful book that really refueled my interest for Statistics (which I've been struggling to start learning...even though I know calculus and LOVE mathematics)...but it really caught my eye because it goes into detail about the R statistical programming language.",8
50,"Shawn Winigman",3,"Good Intro, Poor Quality","2013-05-21","Going through this book for introductory Data Analysis elements has been extremely helpful, especially in later chapters utilizing ""R"".",8
51,"Monalisasmile25",5,"Perfect for beginners","2023-02-15","SQL in legman’s terms. Very helpful.",8
52,"amayong",4,"Great Introduction to Applied Analysis","2010-11-25","This book provides an excellent, approachable introduction to data analysis. Although most experienced professionals or advanced students will find this text trivial, it serves as a god starting point for those who are completely new to data analysis. The text provides numerous interactive examples using Excel and R, but the examples do not cover these tools in any great depth. If you're looking to learn more about statistics, data analysis and data mining, this book is a good starting point.",8
53,"Ms. R. M.",3,"Content (that I can see) is good, but print is washed out on some pages.","2012-06-24","The book itself is useful. I like the way it takes the reader through one example problem at a time and guides the thought process needed to solve the problem. The only thing I don't like is that the print is so faint on some of the pages that I can hardly read it. It looks like a bad printing job or like the presses were running out of ink when this book was created. Some of the screen shots are so washed out (very pale gray color) that I can't see what I am suppose to click on.",8
54,"Gregory A. Stobbs",2,"Too much fluff","2011-02-15","While some of the Head First series have been quite helpful, this one has way too much fluff, making it tedious to find the important content.  By way of example, the entire page 97 is devoted to ""Profits fell through the floor"" with a picture of a sad person, a picture of a pile of rubber ducks, a sample letter expressing a complaint, and the conclusion that ""this is pretty bad news."" Page 97 lies in the middle of the ""optimization"" chapter, but you don't get to the punch line on what to do about the ""pretty bad news"" until page 108. The pace of the book is simply too slow--which I attribute to an overuse of the Head First style, a style supposedly ""designed for the way your brain works."" My brain would have been happier if the editors had picked up the pace.",8
55,"Elke Blinick",5,"Great Introduction into various Data Analysis Tools and Techniques","2012-09-19","Different problems need different methods to be solved properly. This book takes various examples and lets the reader work through the problems. It is actually fun to read this book. Very well explained. Of course, not all the problems worked 100%, but I have not read a book with examples and problems that all work. Especially, some of my R did not work too well. Other than that it is a great book, and a great way to learn about data analysis.",8
56,"CLEMENT",1,"Very Expensive ebook but not compatible with my Kindle Oasis","2022-12-26","Trying to read this book on my Kindle Oasis, but when I click the ebook icon on my device, it always says Unable to download ""Head First Data Analysis:  A learner's guide to big numbers, statistics, and good decisions""  The item is not compatible with this device.",8
57,"Amazon Customer",4,"A bit too basic but does the trick","2010-12-15","It's an introductory book, well written, fun to read. I think lots of graduate programs could benefit from some of the examples of the book. For me, I wished it were a bit more advanced, but hey, it's purpose is to be an introductory material, and I think it does it well.",8
58,"Scott J Pearson",5,"A seminal guide for qualitative research","2022-04-15","Professionally, I work a lot with quantitative data, through mathematics/biostatistics, building software, and research design. The world of words has long been a domain that has enchanted me even though symbols have comprised my main language. Recently, my wife has started graduate work using qualitative methods. I decided to fill my deficits in this world by reading this book. I am by no means expert or even experienced in it, but I merely have an interest.",10
59,"Amazon Customer",5,"Excellent reference materials for my research","2022-03-21","This text provided solutions, examples, insights, and modern techniques for my qualitative research study. The initial, focus, and axial coding concepts for qualitative analyses were in depth, professional, and readily applicable. I highly recommend this text. Excellent!!!!",10
60,"mujdat ozmen",5,"Comprehensive... Rigorous...","2020-02-21","One of the best on qualitative research. Nearly all details are told in a highly understandable style. Besides, some of you might find it sort of positivistic. One of the best, though.",10
61,"Fayth Goddard",1,"Important tables and displays not visible on kindle cloud version","2022-09-02","This textbook has a lot of graphics and tables that are important for you to be able to read. However, kindle reduces the images so small none of the text is legible and on the cloud reader there is no way to zoom in on graphics. If you need an ebook version, definitely buy a non-kindle format as this is a waste of time and money.",10
62,"Marilyn Annette Barber",5,"Easy to read and use","2019-07-08","Great resource for understanding qualitative data Analysis",10
69,"ctelmo",4,"Telmo Costa","2022-08-15","Interesting. It is a real working tool, the possibility to retrieve data from databases into excel worsheets",11
70,"Ken Wood",4,"Has anybody tried to run author's SQL scripts on a Mac?","2018-03-20","I like the this book and how it combines SQL queries with Excel data analysis.  My issue is that I was unable to get the author's SQL script file (LoadSQLServer.sql) to properly to set up the downloadable data files into SQL Server. I'm running SQL Server on a Mac and I think the author did all his work on a Windows-based PC.  My suggestion would be to devote a chapter or two in the next edition explaining how to get started with SQL Server in BOTH Windows and OS X environments.  It's always been my experience that the 'devil is in the details' and I fear that laptop compatibility issues are going to hamper my ability to absorb the great information in this book.",11
71,"Kristina B.",3,"Good Content, Riddled with ERRORS","2022-07-07","This book has some great content - the queries are good, the logic is sound and the author keeps the content engaging.",11
72,"Michael Berry",5,"Second Edition is Even Better than the First","2016-02-16","I buy a copy of this book for each new hire in my small analytics group. My most recent purchase was of the Second Edition which is a noticeable improvement on the excellent First Edition which I have already reviewed very favorably. Many of the queries have been reworked to be more readable by using common table expressions. The index is better which is important because I often tell someone something like ""There's a great example of using window functions for that somewhere in Linoff's book"" and now they have a better chance of finding the example I have in mind.  There is also a welcome new chapter on performance issues. The most important strength of this book remains the same: It shows SQL the way it is actually used for business analysis. I don't think there is a single INSERT or UPDATE statement in the book, and that's fine because we rarely use them in our line of work. On the other hand, there are many examples of things we do all the time such as creating histograms to explore distributions, creating lookup tables, and calculating distance or similarity.",11
73,"Kpete",5,"I've been looking for an in depth book that would ...","2016-11-15","I've been looking for an in depth book that would give me insight on how to use SQL for data analysis for a while now.  I didn't need to know how tables were made or populated or how to write simple SELECT, UPDATE, DELETE queries.  I needed some guidance and insight into writing more complex queries on an already established large database.  This book does that.  The fact that Excel is added makes this book even more powerful and indispensable.",11
74,"Amara J Moosa",5,"Best book if you work with customer and transaction data","2020-08-04","This is very great. It takes you from basic of SQL to doing advanced analysis. I love how the author provided enough information about the different flavors of SQL.",11
75,"Threni",3,"Useful but flawed","2018-10-05","This book is to be recommended, but there is a curious discrepancy between the good logic of the examples and the substandard logic of the exposition of the ideas in the book.  Don't come here, for example, for a lucid understanding of basic statistical concepts; the author's presentation is somewhat careless and hence confusing.",11
76,"SQLMonkey",5,"Scored lead staleness using a survival curve and created a SFDC dashboard","2021-11-16",NULL,11
77,"K. Dummermuth",4,"Four Stars","2018-06-01","This book was a little hard to follow",11
78,"Divyesh sheth",5,"great book that introduces data analytics","2022-09-28","This is a book that covers fundamentals of data analytics for the beginners. Anyone who is curious about data science and wants to start working I. This BBC area, author provides an excellent explanation to the basic concepts in a layman’s language.",12
79,"Marika",5,"Great introduction to the subject","2022-10-27","I wanted to get a quick overview of the subject, and, this was a perfect tool for it. Read this if you know barely anything about data analytics.",12
80,"Ken Howe",5,"Great intro","2022-12-22","Short and complete for beginners.",12
81,"Katelyn",5,"great first step into data","2022-07-12","I’m a new analyst for the US Air Force and it covers lots of different aspects of data science easy to read. I will most likely read it again in the future. Thank you for a great book!",12
82,"Calvin",5,"Very beginner friendly","2020-05-26","I went from a complete zero with extra time on his hands to pick up a book to someone feeling armed with some knowledge and excited about a new field.",12
83,"Emmanuel",5,"A Good Introduction for Beginners","2017-04-03","Author is right in that he doesn't tell you that you're going to be a data scientist over night - as data mining is a long and challenging discipline to master – but at the same time I think this book is definitely a great lead-in to the subject for guys and girls just starting",12
84,"Amazon Customer",5,"Data Science is Complicated","2017-01-23","Data Science is bloody complicated. I've spent 3 weeks of my holiday break on Quora and reading my textbook for next term trying to piece it all together. This book won't win awards for advanced theories but is a great easy-to-follow intro to the subject for beginners and people like me.",12
85,"Kevin",2,"Really needed an editor","2021-02-16","This is an obviously self published book.",12
86,"Toi",5,"Data analysis beginner","2023-09-26","As a beginner this was informative, descriptive and instructional. Enjoyed it!",12
87,"James",5,"Great Reading!","2023-06-07","I recommend this book for any beginners who want to start from scratch understanding the main concepts prior to getting into Data Analytics field.",12
88,"Hailey James",4,"Beginner friendly","2023-04-10","This product is great information for beginners as well as for students needing additional help.",13
89,"Ronald",5,"A very good book as long as the right audience is in possession of it","2022-04-30","My headline should be rather obvious, but I saw a review or two criticizing the explanations of the way certain formulas,unrelated to excel, work and the more statistical concepts given in the text. But these aren't really valid considering that the book's focus is more to teach you how to use excel to implement these concepts rather than the reverse. One could say it's geared towards the former with a little bit of the latter mixed in. Either way I think as long as you make sure to read the preface to get a good idea of what to expect, the table of contents, and glance at a couple of pages you'll be able to make the correct decision.",13
90,"ffwhite",3,"Not the latest version, no PDF","2023-01-01","It covers most of what you would need to know, though sensitivity analysis graphs and xlookup (features of 2021 version) are not covered.",13
111,"Denzel Ignatius Arulmani Selvam",4,"Best book for Beginners.!","2022-06-08","If you are newbee and don't know where to start. This book is the one of the best to start with.",6
394,"Travis s.",5,"Lots of good information","2022-06-23","Was easy to understand",36
395,"Manofwar33",5,"Awesome!","2022-04-01","I like it alot !",36
91,"Experienced Shopper",5,"Exact copy requested by my Professor","2021-10-08","The delivery time was very fast, considering the fact that I ordered it the day before my class was due to start. The print is very easy to read. I also like the fact that the cover has not creased or look beat up after a few uses like a lot of paperbacks. The book is very well written with easy to follow illustrations. It also coincides with videos for excel on LinkedIn.  I'm very happy with my purchase.  It is a much needed addition to my library.",13
92,"JCK",3,"Meets the Minimum","2022-08-06","Product is good. Meets the minimum requirement for training and analysis.",13
93,"Richard Campbell",5,"Awesome Book!","2020-12-19","I am using this book in preparation for Microsoft's MOS-201 Advanced Excel Certification exam. The book is accompanied by downloadable Excel files that are supported by screenshots and explanations in the book! I have purchased two of Wayne Winston's previous books and my only regret is that I could not physically take one of his graduate classes.",13
94,"Sabrina",4,"Needed it for class","2019-08-13","I needed it for 1 class but I decided to buy it because excel is a very useful tool that everyone should learn. Ups your chances of getting a job.  The book explains things very well although there were a few explanations in the downloadable that were wrong or did not use the guidelines specified in the question",13
95,"Student",5,"Great book for 2019 Excel.","2021-05-25","This book covers all the new topics and has topics from beginner to advanced. For people saying that there are no files, that is not true. You can find them on the Microsoft site under downloads, once you find the page of the author.",13
96,"Rob McCormick",5,"Comprehensive and very insightful reference","2021-01-11","Wayne’s coverage of the material is terrific but where he truly excels is in his use of examples and exercises that are both socially relevant but entertaining and enlightening as well. I have found his text to be very useful and I use it frequently... Rob",13
97,"Dr. Terrence McGarty",2,"Lots of Simplistic Examples","2020-03-16","I have used Excel for well over 35 years, just after I got rid of Lotus in the mid 80s. I have written books on writing business plans, I have prepared hundreds if not thousands of financial models, I have done over 35 start ups as investor or CEO. Thus I know Excel from the business perspective. However every once in the while I want to use some function I have not used and need a quick reference. I thought this would be one on Kindle.",13
98,"RJC",5,"Excellent Introductory Text","2021-07-18","Great introduction to the material before taking a class or continuing with self-study.",5
99,"SAW",1,"Physical book quaility awful!","2022-10-14","The copy I received is literally falling apart.  Before I got to the end of the 1st chapter 3 pages had fallen out.  Just glancing at chapter 2 two more pages fell out.  Looks like this is going to continue through the entire book.  The definition of a book is pretty much that it has bound pages.  This one is awful in that regard.  It loose leave paper suck in a cover.",5
100,"Amy MPLS",5,"Worth it","2020-12-03","I’m new to stats and I can appreciate anyone who can make it palatable for everyone. It’s refreshingly not complicated.",5
101,"C. Jordan",5,"Very interesting to follow","2020-09-28","Found this book to be extremely helpful, easy to understand and pick up the concepts.  Would highly recommend.",5
102,"CraftyMom31:19",5,"Statistics 101","2021-02-16","This book helps with the understanding the basic statistical skills.",5
103,"Jim S (Philadelphia)",5,"Well worth the time investment!","2021-03-14","Well written by a true expert",5
104,"Berry",1,"Nope.","2022-10-01","Statisticians are too busy attempting to show you how ""smart""they think they are to explain this @#$&.  I passed this ""mind boggling mess"" on to someone else and changed my Major",5
105,"Vic F",1,"Was looking for a math book","2021-08-07","If you’re looking for a starting guide to maths for statistics, keep looking. This book concisely discusses the terms of statistics, but doesn’t show you many formulas beyond calculating an average. If you don’t know how an Internet search engine works, this book might be useful; if you want to employ maths for statistics, you’ll be disappointed.",5
106,"LFAVE",1,"Not what it says it is","2021-08-17","This is billed as in Intro to Statistics, but it is more a review of statistics.  Concepts are thrown at the reader with very little explanation.  If you want a review of statistics, this book would work for you.  If you want to learn statistics, go elsewhere.",5
107,"Michael Albers",5,"Understandable book on Statistical Concepts","2022-05-13","This book explains many topics in statistics in a very understandable language. It explains in detail very important concepts.  It begins with the importance of visualizing your data by using histograms, box plots, and bar plots to understand the spread of the data and the presence of potential outliers.  In his explanation of charting, the author draws a good analogy from his past vacation to help the reader understand the important of different scales in chart axes.  The author was personable and genuine in making his point stick with the reader.  The book then does a good job in explaining the difference between random sampling methods and special cases in which sampling is not possible. It also discusses strategies for overcoming the presence of confounding variables.  Overall, it’s a good read and helps solidify important concepts.  You will not find esoteric formulas and proofs in this book but you will walk away with a good understanding of what each statistical test and distribution is used for and how it’s applied in real world scenarios.",5
108,"Stephan Miller",5,"Great Way to Get Better at Machine Learning","2022-05-22","Unless you are good at coming up with your own machine learning projects after you are done with learning the basics, it is pretty easy to get rusty unless it is part of your job. Entering Kaggle contests can keep you sharp, help you keep up with rapidly changing techniques, and learn by doing.",6
109,"hawkinflight",5,"Fun Book!  Get started with or improve at Kaggle!","2022-04-26","This book is great at generating enthusiasm for online competitions, in particular Kaggle.  In the Forward, the Founder and CEO of Kaggle describes Kaggle as a place to learn what developments matter on real-world problems (given that no one can read the 300 new ML papers published each day), to learn new tools, to learn by doing, to increase ML fitness, and to have a chance to try a problem and later see how the winners did it.",6
110,"Yogita darade",5,"Are You  intimidated by Kaggle and Data science Competitions.?? This book is for you.!!!","2022-04-25","Kaggle is a blessing for students and people who are transitioning into datascience, it not only provides a vast variety of datasets, notebooks, and discussion forums that one can leverage but also gives an opportunity to build a network, and interact with data professionals and enthusiast all over the world. I am a newbie in datascience and so happy to review the book, it has reduced my fear of datascience competitions. There is a lot to absorb and learn from the book.",6
2589,"Roseanne Roberts",5,"Five Stars","2018-08-14","On time and as advertised.",200
112,"Dmitry Efimov",5,"Tricks and tips for Kaggle competitions","2022-04-23","A more accurate title would be ""Tricks and tips for Kaggle competitions"". In case you are thinking about participating in Kaggle competitions or already have, you should get this book. The book cannot guarantee that you'll win the competition. After all, winning requires a lot of creative thinking. But using common practices will definitely help you climb the leaderboard. The book is the first of its kind and I would definitely buy it for my home library. Often overly detailed, this is a great practical guide for Kaggle competitions, including Kaggle platform overview, many lines of Python code, strategies and best practices. It does not discuss machine learning algorithms or machine learning theory in general; for that, you should look for specialized machine learning theory books. However, the authors provide a list of most popular algorithms used in competitions, as well as their key features and most important parameters. The chapters about Bayesian Optimization and Blending/Stacking are probably the best I have seen so far. The book has a lot of blurbs with interviews from Kagglers, which is the most entertaining part for me. In my opinion, these blurbs can be converted to another great book. In spite of the fact that this book is fantastic now, I expect it to become outdated pretty quickly given the level of details provided by the authors and the pace at which machine learning is progressing. It would be wise for the authors to consider a new edition when it becomes outdated. I would recommend this book to people who are interested in machine learning competitions and are familiar with machine learning theory.",6
113,"Harsh Sharma",5,"A Helpful guide for Kaggle","2022-06-20","It an awesome book that helps you understand the data science concepts from basic level to advanced. The authors invested time in the early chapters discussing about Kaggle platform history and different types of competitions (dataset, competition, notebooks, discussion) available on the website.",6
114,"Amazon Customer",5,"Excellent introduction to the world of data science competitions","2022-05-10","As someone with little knowledge of data science coming into this book, The Kaggle Book provides a deep dive into the topic that is both approachable and informative. The book explains the ideas behind competitive data science programming, going over how competitions are organized on Kaggle. Plenty of interviews are provided with experienced Kaggle competitors, which give more insight into the competitions.",6
115,"psicometodos",2,"Problems with my Android Kindle","2022-05-30","I can't read properly the sample copy, it is very slow, with gaps and jumps between pages. That's the reason because I didn't buy it. This is the first time I have problems, and I have bougth more than 100 electronic books",6
116,"Antonio Gulli",5,"","2023-03-02","One of the best way to learn ML is to practice with real problems in ML competitions. kaggle is the state of the art platform owned by Google where everyone can sharpener their skills. This book is an excellent reference enabling you to use the platform, and while doing so improving your ML knowledge. I've particularly appreciated the interviews to all the Grand masters. Definitively, recommend",6
117,"MaxB",5,"","2023-01-15","As someone who has been dipping my toes into various ML resources including Kaggle for ~10 years, I found this book enlightening.",6
118,"Gerardo",5,"","2022-08-09","Muy completo",7
119,"Amazon Customer",1,"Received “Head First Kotlin”","2023-03-22","
                    The media could not be loaded.
                ",8
