"id","title","author","price","description","rating","num_of_rating","publisher","language","paperback","item_weight","dimensions"
120,"Excel 2023: The Must-Have Guide to Master Microsoft Excel | From Beginner to Pro in less than 7 Days | Step-by-step Formulas and Functions with Tutorials and Illustration","Gil B. Dreher",16.18,"$16.18 Description Editorial Reviews NEW RELEASE !!! 2023 EDITION ⭐️⭐️⭐️ The CERTIFIED GUIDE to becoming the king of Excel . The most updated 160 PAGES to master Microsoft Excel from scratch in 7 DAY . ⭐️⭐️⭐️ ✅ FREE Bonus 1: Over 100 FREE Excel Templates ✅ FREE Bonus 2: FREE Excel Video Course THEN THIS BOOK IS THE ONE FOR YOU! From BEGINNER TO PRO Thanks to Step-by-Step Tutorials and Illustrations. Using Excel is a skill you need to have in today's digital society. It’s a great tool, knowing how to use it will give you enormous professional and private advantages. It has become more than just a program for ""creating tables."" It can solve problems, organize and merge data, and automate working formulas at the touch of a button for any field or use. With its simple steps and many practical examples, you will discover: How to make the most of Excel's features How to better manage your data How to improve your productivity How to increase your data processing skills From spreadsheet basics to advanced features, this book will guide you through all aspects of Excel, enabling you to become a true expert in no time, thanks to a 7-DAY METHOD TO BECOME A PRO. And to make it all easier and help you get started with Excel, 2 BIG FREE BONUSES ARE INCLUDED! ✅ Step-by-Step Excel VIDEO LESSONS COURSE ✅ 100+ Ready-to-Use Templates to download Don't miss your chance to improve your productivity and increase your data processing expertise with this comprehensive and easy-to-follow guide. Scroll up, click on ""Buy Now,"" and Get your Copy! easy to understand steps explained in great detail practical examples pictures course video lots of templates for each field that you can download",4.7,112,"Independently published (January 30, 2023)","English","116","14.4 ounces","8.5 x 0.27 x 11 inches"
121,"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems","Martin Kleppmann",38,"– $38.00 Description Editorial Reviews Data is at the center of many challenges in system design today. Difficult issues need to be figured out, such as scalability, consistency, reliability, efficiency, and maintainability. In addition, we have an overwhelming variety of tools, including relational databases, NoSQL datastores, stream or batch processors, and message brokers. What are the right choices for your application? How do you make sense of all these buzzwords? In this practical and comprehensive guide, author Martin Kleppmann helps you navigate this diverse landscape by examining the pros and cons of various technologies for processing and storing data. Software keeps changing, but the fundamental principles remain the same. With this book, software engineers and architects will learn how to apply those ideas in practice, and how to make full use of data in modern applications. Peer under the hood of the systems you already use, and learn how to use and operate them more effectively Make informed decisions by identifying the strengths and weaknesses of different tools Navigate the trade-offs around consistency, scalability, fault tolerance, and complexity Understand the distributed systems research upon which modern databases are built Peek behind the scenes of major online services, and learn from their architectures Martin is a researcher in distributed systems at the University of Cambridge. Previously he was a software engineer and entrepreneur at Internet companies including LinkedIn and Rapportive, where he worked on large-scale data infrastructure. In the process he learned a few things the hard way, and he hopes this book will save you from repeating the same mistakes. Martin is a regular conference speaker, blogger, and open source contributor. He believes that profound technical ideas should be accessible to everyone, and that deeper understanding will help us develop better software. Explore View Enjoy Discover Sharing the knowledge of experts You want to learn how to make data systems scalable, for example, to support web or mobile apps with millions of users. You need to make applications highly available (minimizing downtime) and operationally robust. You are looking for ways of making systems easier to maintain in the long run, even as they grow and as requirements and technologies change. You have a natural curiosity for the way things work and want to know what goes on inside major websites and online services. This book breaks down the internals of various databases and data processing systems, and it’s great fun to explore the bright thinking that went into their design. Highlight, take notes, and search in the book",4.8,4376,"O'Reilly Media; 1st edition (May 2, 2017)","English","611","2.15 pounds","6.9 x 1.2 x 9.1 inches"
122,"Storytelling with You: Plan, Create, and Deliver a Stellar Presentation","Cole Nussbaumer Knaflic",20.8,"– $20.80 Description Editorial Reviews cole nussbaumer knaflic is founder and CEO of storytelling with data . For more than a decade, Cole and her team have delivered interactive learning sessions coveted by data-minded individuals, companies, and philanthropic organizations all over the world. They also help people create slides and graphs that make sense and weave them into compelling stories through the popular SWD community, blog, podcast, and videos. Learn more at storytellingwithdata.com. Highlight, take notes, and search in the book In this edition, page numbers are just like the physical edition",4.6,104,"Wiley; 1st edition (September 27, 2022)","English","384","1.95 pounds","7.4 x 1.1 x 9.1 inches"
123,"AI Ethics (The MIT Press Essential Knowledge series)","Mark Coeckelbergh",13.59,"– $13.59 Audio CD – $29.99 Description Editorial Reviews Explore View Enjoy Discover",4.4,163,"The MIT Press (April 7, 2020)","English","248","8 ounces","5 x 0.65 x 7 inches"
125,"Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!","Philip Robbins",23.72,"People believe that once you start a career you can only grow vertically. This self-limiting belief only narrows the true horizons of our careers. But fortunately, in the post-pandemic age, the number of companies looking for remote and non-remote programmers has literally blown. And that's where PYTHON, the most in-demand programming language in the world, comes in! The good news is that there is no need to waste time and effort on high-level academic texts, needlessly expensive online courses, or videos and tutorials that are too technical for beginners who are just starting out. Created with the beginner in mind, Python Programming for Beginners offers an innovative approach that is based on three well-defined principles: A brief introduction to Python, its history, and its main applications to show its huge potential and how learning it can benefit you How to install Python and choose the best distribution , whether on Windows or Mac, to know everything you need to start, including the best IDE The Object-Oriented Programming (OOP) paradigm and why you must know it , including objects, methods, and inheritance, presented logically and sequentially to help you use this user-friendly language and its simple syntax quickly and easily Each chapter has practical codes and exercises to test your skills The best Python programming techniques to maximize script efficiency , thanks to a complete section Github, pip, Virtual Environment, and Unit Testing, to get a 360-degree view of advanced programming and easily break into it The SOLUTIONS to the exercises (but be sure to look at them only after first trying to solve the exercises on your own) BONUS : Python Interview Questions and Answers to crack the interview (scan the QR code inside the book) …and much, much more! Whether you have never written a line of code or you have some programming experience, this book is the right choice because it will inevitably put you in front of new, high-paying job opportunities, so…",4.3,351,"Independently published (February 4, 2023)","English","129","9.6 ounces","8 x 0.3 x 10 inches"
126,"BLOCKCHAIN BASICS: A 5-STEP PRACTICAL GUIDE FOR BEGINNERS TO AVOID COSTLY AND DISASTROUS MISTAKES WHEN BUYING CRYPTO","R.K. Riversong",9.99,"",4.8,122,"Independently published (November 23, 2022)","English","146","7.7 ounces","5 x 0.33 x 8 inches"
130,"Coding for Absolute Beginners and Cybersecurity: 5 BOOKS IN 1 THE PROGRAMMING BIBLE: Learn Well the Fundamental Functions of Python, Java, C++ and How to Protect Your Data from Hacker Attacks","Alan Grid",18.94,"Are you looking for the right Guide to Improve your Technical Skills in Programming and Cybersecurity? Would you like to Start your Own Business or look for a Job with Better Knowledge in Computer Programming and Data Protection? Would you like to be sure to have in your hands a manual written by someone who knows what he is talking about? Bingo! You have just come to the right place! Alan Grid summarizes his many years of experience working with Tech Giants as a software developer and programmer in this guide to help you effectively improve your coding skills to develop your projects. This collection of books contains a wide introduction to the world of programming, you will learn what a programming language is, how to use it, what are the differences between the 3 most used languages, and which one chooses to deepen according to your purposes. In an economic context in which companies increasingly rely on sensitive data, a real wealth of the most modern companies, keeping such data safe is a top priority for any organization. For this reason, the IT security expert, capable of defending all corporate IT systems from unwanted attacks, is a key figure in the current company assessment. That is also why the demand for IT security experts is increasing in the global market, making cybersecurity one of the safest and most profitable fields to aim for. In this guide, you will: ✓ Clearly Understand What Python Programming Is and How It Works  to realize why it has much more advantages than the other programming languages; ✓ Know Why Java Is Still So Crucial And Fundamental In 2021  And How to Use It To Reach All Its Benefits to create Web applications and platforms; ✓ Realize the Importance to Have At Least the Basics of C++  Language because it is useful for the low-level programming language and very efficient for general purpose; ✓ Learn How to Secure a Network to keep unauthorized users and hackers from accessing,  putting in place all the necessary steps and actions; ✓ Have A Complete Knowledge about Coding for Cybersecurity;  it is important to acquire this skill because it determines how far you advance in your career and what opportunities are available to you down the road. ✓  … & Lot More! Eager to have the right skills to enjoy yourself and build your website from scratch, to create responsive mobile games? Learn how to code from an expert, and you will be able to do whatever you want! Do not keep on wasting your time; this is your moment to boost your skills! Order Your Copy Now and Start Coding Like a Pro!",4.4,204,"Independently published (June 8, 2021)","English","426","1.25 pounds","6 x 0.96 x 9 inches"
131,"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)","Brady Ellison",21.97,"Unlock endless career opportunities with our comprehensive Python Language book!  Python is one of the most versatile and in-demand programming languages in the world. Whether you're a beginner looking to learn a new skill or an experienced developer seeking to expand your knowledge, this Python Bundle book has everything you need to take your skills to the next level. This comprehensive guide covers all aspects of the Python language, from the basics of programming to more advanced topics like data analysis and machine learning. With clear, concise explanations and practical examples, this book is perfect for anyone looking to learn Python from scratch or enhance their existing skills. With a strong foundation in Python programming and data analysis, you'll be in high demand in a wide range of industries, from finance and technology to healthcare and retail. This  Python Bundle  book will equip you with the skills you need to succeed, no matter what your career goals may be! In this book, you'll find: A beginner-friendly introduction to the Python language, including data types, variables, functions, and control structures. A deep dive into data analysis with Python, including how to work with popular data analysis libraries like Pandas, NumPy, and Matplotlib. A comprehensive guide to machine learning with Python, including how to build and train machine learning models, as well as how to apply them to real-world problems. Whether you're looking to start a new career in data science or just want to improve your coding skills, this Python book has everything you need to succeed. With its engaging and accessible writing style, this book is the perfect resource for anyone looking to take their Python skills to the next level. THIS BOOK INCLUDES: Python for Beginners: A crash course to learn Python Programming in 1 Week Python for Data Analysis: A Beginners Guide to Master the Fundamentals of Data Science and Data Analysis by Using Pandas, Numpy and Ipython Python Machine Learning: A Step by Step Beginner’s Guide to Learn Machine Learning Using Python Here's what you'll learn through this book: Python for Beginners In this book You will learn: Getting started with the basics Statements, Comments, Variables, Index Data Types: Strings and Numbers Data Types: List and Tuple Data Types: Set and Dictionary Operators Functions Loops Python Practice Projects and much more Python for Data Analysis In this book You will learn: Data Science/Analysis and its applications IPython and Jupyter - an introduction to the basic tools and how to navigate and use them. You will also learn about its importance in a data scientist’s ecosystem. Pandas - a powerful data management Python library that lets you do interesting things with data. You will learn all the basics you need to get started. NumPy - a powerful numerical library for Python. You will learn more about its advantages. Python Machine Learning In this book You will learn: Machine learning fundamentals How to set up the development environment How to use Python libraries and modules like Scikit-learn, TensorFlow, Matplotlib, and NumPy How to explore data How to solve regression and classification problems Decision trees k-means clustering Feed-forward and recurrent neural networks With our comprehensive approach, you'll have all the tools you need to excel in the world of Python. So why wait? Get your copy today and start your journey to becoming a skilled Python programmer! Get your copy now!",4.4,105,"Independently published (February 4, 2022)","English","472","1.63 pounds","6 x 1.07 x 9 inches"
136,"Expected Goals: The story of how data conquered football and changed the game forever","Rory Smith",13.59,"Shortlisted for the William Hill Sports Book of the Year Award 2022 Football has always measured success by what you win, but only in the last twenty years have clubs started to think about  how  you win. Data has now suffused almost every aspect of how football is played, coached, scouted and consumed. But it’s not the algorithms or new metrics that have made this change, it’s the people behind them. This is the story of modern football’s great data revolution and the group of curious, entrepreneurial personalities who zealously believed in its potential to transform the game. Central to this cast is Chris Anderson, an academic with no experience in football, who saw data as an opportunity to fundamentally change a sport that did not think it could be changed. His aim: to infiltrate the strange, insular world of professional football by establishing a club whose entire DNA could be built around data. Expected Goals  charts his remarkable journey into the heart of the modern game and reveals how clubs across the world, from Liverpool to Leipzig and Brentford to Bayern Munich, began to see how data could help them unearth new players, define radical tactics and plot their path to glory.",4.3,183,"Mudlark (September 5, 2023)","English","304","9.5 ounces","5.08 x 0.75 x 7.8 inches"
140,"Excel: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials (Mastering Technology)","Leonard J. Ledger",19.77,"🔥🔥🔥 Game-changing bonuses included. Read below.🔥🔥🔥 Inside you’ll find clear steps , straightforward illustrations and simple explanations that all combine to make this the only guide to Microsoft Excel you’ll ever need! You’ll even have unique access to time-saving shortcuts , essential commands , and productivity-boosting macros from the moment you open the guide! ➔ Here's how you’ll make halving your workload look so simple you won’t believe it: ✅ Hands-on exercises will test your knowledge and refine your understanding in record time ✅ Step-by-step illustrated instructions make knowledge retention so simple you’ll improve every single day ✅ Excel functions and formulas are taught with full walkthroughs, so you can instantly shave hours off your workload ✅ Leverage time-saving Excel shortcuts and wave goodbye to time-consuming manual tasks once and for all! ✅ Master the art of data visualization with dynamic charts and graphs ✅ Crack the code of Pivot Tables and complex data analysis techniques ✅ Start automating tasks with Excel VBA and focus on higher-value tasks that will get you promoted! ✅ Unleash the power of advanced features so you become the go-to Excel pro the rest of the team cannot live without AND SO MUCH MORE! It doesn’t matter whether you’re a master techie or a complete and utter novice; this is the only guide you will ever need. From the moment you start reading, you’ll gain insights faster and easier than any other approach to learning Excel. Why settle for anything less? 🔥🔥🔥This book includes FREE BONUSES. Discover how to get it inside the book.🔥🔥🔥 ✅ Excel for Beginners Audiobook — learn on your commute ✅ Office 365 for Beginners Audiobook — master the fine details ✅ Excel Pro: Boosting Productivity with Shortcuts and Tricks — turn into a true data wizard ✅ Artificial Intelligence in Excel: Advanced Techniques for Data Visualization — leave the competition for promotions behind! organize household management PERFECT SPECIAL chapters ""business & excel"" ""excel in daily life"" Project Management Team administration Strategic Analysis How to create a budget for family Keeping cost under control And much more... Become an excel expert and reach the top in your career. Learn to use this software like professionals to lighten your workload and get your tasks done in no time! FORMULAS, TABS, CHARTS and much more is well known how crucial to complete tasks in the shortest possible time great chance of promotion salary increase. stress and a lot of backlog. you have the solution, Basic Formulas Advanced Formulas Tabs Charts How to Analyze Data And much more...",4.2,818,"Independently published (April 1, 2022)","English","146","12.5 ounces","8.5 x 0.33 x 11 inches"
144,"Effective Data Visualization: The Right Chart for the Right Data","Stephanie Evergreen",54.27,"Written by sought-after speaker, designer, and researcher Stephanie D. H. Evergreen, Effective Data Visualization shows readers how to create Excel charts and graphs that best communicate data findings. This comprehensive how-to guide functions as a set of blueprints―supported by research and the author’s extensive experience with clients in industries all over the world―for conveying data in an impactful way. Delivered in Evergreen’s humorous and approachable style, the book covers the spectrum of graph types available beyond the default options, how to determine which one most appropriately fits specific data stories, and easy steps for making the chosen graph in Excel. New to the Second Edition is a completely re-written chapter on qualitative data; inclusion of 9 new quantitative graph types; new shortcuts in Excel; and entirely new chapter on Sharing Your Data with the World which includes advice on using dashboards; and lots of new examples throughout. The Second Edition is also presented in full color. Dr. Stephanie D. H. Evergreen is a sought-after speaker, designer, and researcher. She is best known for bringing a research-based approach to helping others better communicate their work through more effective graphs, slides, and reports. She holds a PhD from Western Michigan University in interdisciplinary research, which included a dissertation on the extent of graphic design use in written data reporting. Dr. Evergreen has trained audiences worldwide through keynote presentations and workshops for clients, such as Verizon, Head Start, American Institutes for Research, Brookings Institute, the Ad Council, Boys and Girls Club of America, and the United Nations. She led the first known attempt to revamp the quality of presentations for an entire association: the Potent Presentations Initiative for the American Evaluation Association (AEA). She is the 2015 recipient of the AEA’s Marcia Guttentag Promising New Evaluator Award, which recognizes early notable and substantial accomplishments in the field. Dr. Evergreen is coeditor and coauthor of two issues of New Directions for Evaluation on data visualization. She writes a popular blog on data presentation at StephanieEvergreen.com. Her book, Presenting Data Effectively: Communicating Your Findings for Maximum Impact, was published by Sage in Fall 2013 and was listed as number one in Social Science Research on Amazon in the United States and United Kingdom for several weeks. Highlight, take notes, and search in the book In this edition, page numbers are just like the physical edition Highlight, take notes, and search in the book In this edition, page numbers are just like the physical edition",4.5,156,"SAGE Publications, Inc; 2nd edition (May 14, 2019)","English","352","1.39 pounds","7.38 x 0.8 x 9.13 inches"
152,"The ChatGPT Millionaire: Making Money Online has never been this EASY (Chat GPT Mastery Series)","Neil Dagger",12.99,"This is the simplest guide on how to make money quickly and easily with ChatGPT (Updated for GPT-4) In this step-by-step guide I will share the secrets of how to: ✔ Create passive income sources that keep on giving - in minutes. ✔ Impress your customers by getting their projects finished extremely fast with high quality (with zero effort!) ✔ Research, create and promote engaging content effortlessly. ✔ Get time back to focus on what really matters. We currently live in a world where  businesses are paying hundreds of dollars to people for writing engaging articles and blogs, and thousands of dollars per month for social media marketing and SEO. Now using ChatGPT, anyone including you can do this really well - even if you have no experience in this!  Most businesses are not aware of or are not using this right now - which is where you can come in and undercut existing providers while doing almost zero work - and  I will show you how step-by-step - with instructions you can copy and paste.  This market may become saturated a year from now - but this is the right time to start! GET The ChatGPT Millionaire: Making money online has never been this EASY FREE BONUS - Access to 150+ powerful “Act as” prompts and every example from this book in a prompt swipe file Here’s what’s included in the book: Introduction to ChatGPT Advantages of using ChatGPT How to Start Using ChatGPT Guidelines for Effective ChatGPT usage Skyrocket your productivity with ChatGPT - create great content and code faster than you thought possible. Make Money Using ChatGPT and create passive income sources that keep giving - instantly. Become a superhuman freelancer with ChatGPT - finish your client's project in minutes instead of days. Create and re-purpose social media content for various platforms in seconds. Effortlessly research and write blog posts, video scripts, software applications, online courses and more. 150+ ""Act as"" prompts that'll ensure you can use ChatGPT quickly and easily for whatever you need. Limitations of ChatGPT This book has specific examples of ChatGPT prompts and responses that will help you understand practical usage and give you templates you can start using immediately! FREE Bonus Download a  ChatGPT Prompt cheat sheet (PDF format)  that gives  you access to 150+ powerful “ACT AS” Prompts and condenses the book's examples into one PDF swipe file as an added bonus for buying this book . You’ll also get a free copy of “Simple guide to wealth”, a no-nonsense guide that explains how to build wealth without any fluff. Purchase “The ChatGPT Millionaire” now to get started on your journey to financial freedom!",4.2,2287,"Independently published (January 19, 2023)","English","114","4.7 ounces","5.5 x 0.26 x 8.5 inches"
153,"How Highly Effective People Speak: How High Performers Use Psychology to Influence With Ease (Speak for Success)","Peter Andrei",20.69,"Why do we think what we think? Think we know what we think we know? Believe what we believe? Like what we like? Do what we do?  Why do others trust or distrust us? Respect or disrespect us? Listen to or ignore us? Reach out to or neglect us? Like or dislike us? Praise or slander us? Believe or doubt us? That's not all... Why do others follow our lead or stand in our way? Give us opportunities or send them elsewhere? Support our striving for success and appreciate our message or toss it – and us – aside? Decades of cutting-edge (but unheard-of) scientific research presents an answer... Because hidden, little-known secrets of psychology influence everything about us... Neglecting them is swimming upstream. You can't change minds, win friends, or influence people. You can't earn undivided attention or get the respect you deserve. You undermine your professional image, stagnate your career, and destroy your confidence until communication makes you anxious. You don't deserve this. Neither did I. I remember wondering, ""Why do people never support my ideas? Why am I drowning in a sea of 'sorry, maybe later' (AKA never)? Why have I stopped succeeding?"" Luckily, everything changed when I answered one question... What are the communication habits of highly effective people? It comes down to one secret: Highly effective people speak how the human mind evolved to interpret information. The result? They easily persuade and instantly influence, turning communication from an obstacle into an opportunity. They enrich their careers, get more done, and advance with stunning speed. They impact and inspire others, rising to positions of leadership. They quickly succeed, excel with ease, and shape the world. They attract support, feel confident, and smash goal after goal. Who are they? Presidents and CEOs; top-performers and respected professionals; leaders and visionaries. And here's my question to you: Will you be one of them? In  How Highly Effective People Speak , you'll discover  194 communication habits  of highly effective people (proven by  57 scientific studies ) including: How to get more done with less effort by influencing others to support you How to attract others (instead of turning them away and seeming unfriendly) with the correct type of body language How to make people systematically, predictably, and reliably overweigh your opinion by activating the availability bias How to charge more or pay less (for the same product) and win every negotiation with the anchoring effect How to effortlessly make others want something by activating one little-known cognitive bias (called ""essential"" by billionaire investor Charlie Munger, partner to Warren Buffet) How to lead with ease and reliably influence teams by using the contrast effect How to effortlessly speak with memorable eloquence by applying 2,000-year-old secrets of powerful language How to ace every interview, meeting, and presentation with ease by activating agent detection bias How to quickly diffuse all objections by activating the little-known (but extremely powerful) zero-risk bias How to make people believe something even if they think the exact opposite with the illusory truth effect How to appear authoritative, trustworthy, and capable in 10 seconds by activating the halo effect How to combine the science of psychology with the art of communication and create a critical competitive advantage in life",4.3,1301,"Independently published (May 29, 2020)","English","289","11.9 ounces","5.5 x 0.66 x 8.5 inches"
154,"SYSTEMology: Create time, reduce errors and scale your profits with proven business systems","David Jenyns, Michael E. Gerber",17.99,"Finally a step-by-step system that fixes owner dependent businesses. Do you sometimes feel like your business is an adult daycare centre? Are you constantly repeating yourself, fixing errors and trying to hold things together? What if it were possible to create a business that runs itself? You've dreamed about it - now it's time to make this a reality! If you're anything like many seasoned business owners, you've tried and failed to systemise your business. The reality is, your shiny business isn't as functional as it looks from the outside; it's unorganised, inconsistent and key-person dependent. SYSTEMology  solves this problem with a proven, step-by-step business systemisation framework - designed so that even the busiest business owner can deploy it. Drawing on 20+ years of business experience and real-life case studies, David Jenyns details the path to complete business reliability. In this book you will discover: Why most business owners fail to systemise their business Where to get started and what systems must create first Why business owners are typically the worst people to document systems Why modelling your best team members is the best-kept secret to rapid systems. Why you don’t need (and shouldn’t try) to systemise like McDonalds The best way to unlock innovation and strategies to skyrocket your creativity Simple strategies to get your team to follow your systems - even the stubborn ones How to make improving systems a regular part of your team’s routine Why systems-centred businesses always get higher multiples and sell for top dollar The fact is, systemising your business doesn’t have to be time-consuming or overwhelming. You’re just a few clicks away from having everything you need.  SYSTEMology  has worked for countless business owners worldwide, and it can work for you too. Just click that  buy now  button at the top of this page to get started.",4.6,592,"SYSTEMology (November 18, 2020)","English","212","11.2 ounces","6 x 0.53 x 9 inches"
163,"Speed Reading: Learn to Read a 200+ Page Book in 1 Hour (Mental Performance)","Kam Knight",12.63,"– $12.63 Description Editorial Reviews This has become the go to book for students , teachers , educators , professionals , and home-school parents & children to quickly improve their reading speed. It present simple tips to not only accelerate your reading, but also understanding and memory. Unlike other books that only teach how to skim & scan, this taps into your brain and eyes' amazing ability to naturally read more words in a shorter time. Please Note: ** Please take the low star reviews here with a grain of salt as they DO NOT reflect the actual content. Contrary to some comments, the book offers a mix of new and time-tested techniques, supported by research, and with detailed instructions and explanations. ** In truth, this isn't your average speed reading book. With a few simple shifts, you can double to triple your reading speed in minutes. No Skimming , No Scanning , but reading Every Word with higher speed. You’ll Learn to: Double to triple current reading speed in a matter of minutes. Understand and process more information in a shorter time. Remember and retain more information for tests, exams, papers, and presentations. Develop vocabulary to manage difficult and complicated text. Stop your mind from wandering to stay focused on every word. Strengthen your eyes and sight to continue reading for years to come. Best of all, the tips are simple and easy, requiring only a few shifts in habits. How will the ability to learn more skills , ace more exams , and be more informed , while having more time for the things you love enhance your life? Don't procrastinate any longer, kick start faster reading today. Explore View Enjoy Discover doubling tripling speed comprehension months years",4.5,2752,"MindLily.com (September 26, 2018)","English","129","1 pounds","6 x 0.33 x 9 inches"
165,"Excel Made Easy: The Ultimate Crash Course to Master Excel Without Getting Overwhelmed – Secret Winning Formulas to Stand Out from the Crowd and Impress Your Boss","Max Clark",19.11,"Do you use Excel at work but feel like you’re not using it to its full potential? Are you worried to be left behind at your job because you don’t master it like your coworkers? Or do you start to panic when you open a spreadsheet and can’t figure out how to do everything? If you have answered “yes” to at least one of these questions, then you are in the right place! Sure enough, Excel is the world’s most used spreadsheet program. That’s why most employers assume that everybody knows how to use it. This obviously implies a lot of stress, working until late and not being efficient. Luckily for you, this beginner-friendly guide will allow you to finally get rid of your work with step-by-step guidance and a few simple instructions. Inside, you’ll discover: ABC and main features of Excel to not worry anymore if you don’t know the basics (first things first) Excel formulas, tables, charts & graphs once and for all, to be able to correctly display data and effortlessly extract the right information to share precious insights Fundamental features and most common functions , so that you will learn how to handle any basic task and become more confident 7 shortcuts that only PROs know that will allow you to save time, and be more efficient (your coworkers will approach you for help!) Hands-on exercises to test your knowledge and check that you have interiorized any topic Step-By-Step instructions to make it easier for you to follow and not get overwhelmed Advanced elements , such as Data Management techniques, basics of macro & VBA, to be literally admired by your boss! While most books about Excel overpromise and underdeliver, this book goes further, providing you with a well-rounded test-and-tried approach that has already helped hundreds of people! Do you want to be the next one? Then click on “Buy Now” and say goodbye to stress and late nights spent in front of Excel tables!",4.4,230,"Independently published (April 11, 2023)","English","134","10.8 ounces","8 x 0.31 x 10 inches"
168,"Learn Python Quickly: A Complete Beginner’s Guide to Learning Python, Even If You’re New to Programming (Crash Course With Hands-On Project)","Code Quickly",17.27,"Looking to learn Python? Python has gone to be one of the most popular programming languages in the world, and you will be one of the few people left out if you don’t add this knowledge to your arsenal. If you’re looking to learn Python, now is an excellent time to do so. But where do you begin? You can start right here, right now, with this book. It makes learning Python simple, fast, and easy, taking away the confusion from learning a new language. When learning a new language, it's easy to be overwhelmed and not know where to start or what to focus on. You can spend a long time pursuing tutorials online only to find out you don't really understand any of the concepts they covered. That won't be a problem here! This book follows a step by step guide, walking you through everything you need to know about Python in an easy to follow fashion. It will teach you all the basics of Python, and even some of the more advanced Python concepts, taking you from beginner to intermediate Python programmer. This book will give you: A solid foundation in Python programming. Intermediate and advanced topics once you’ve mastered the basics. Simple explanations of code, broken down into easy to follow steps. Python programming exercises and solutions. Two projects at the end of the book designed to help you bring all the concepts you’ve learned together. Source code files you can refer to and run on your computer. The exercises in this book are designed to help you practice using the skills you’ve learned in the various sections. The final two projects will let you practice putting everything you’ve learned together and teaching you how to manipulate text, work with images, and create a simple Graphical User Interface (GUI). This book will help you master the following topics: Working with Python in both the command line and an Integrated Development Environment (IDE) Variables and operators Python data types Python data structures Handling inputs and outputs Getting user inputs Conditional/control flow statements Error handling Functions, parameters, and scope Built-in function Creating modules Object-oriented programming Reading and writing files Recursion Image handling And many more! As you read through the book, you’ll gain information about all these topics, broken down into easy to understand ideas with relevant, illustrative examples. So, if you’ve been looking to learn Python, you’ve come to the right place. You'll be able to start your Python journey without confusion or worry, with a dependable guide to lead you. Now’s the best time to start learning Python, so click ""Buy Now"" and get started!",4.4,450,"Drip Digital (March 22, 2020)","English","175","10.9 ounces","7 x 0.4 x 10 inches"
170,"Hook Point: How to Stand Out in a 3-Second World","Brendan Kane",7.75,"Hook Point: How to Stand Out in a 3-Second World , by out of the box thinker Brendan Kane, breaks down the most effective strategies to generate new opportunities, innovate and scale your business, and create a compelling brand—both online and off—so you can thrive in the new micro-attention world in which we live. A lot of people know who they are, what they do, and a few even know why they do it—but even when brands or individuals have clarity in these areas, they often struggle to grab a potential audience’s attention for long enough to get them to learn about their attributes. Others have amazing products or services that fail to achieve great success because they don't know how to talk about what they do effectively. This is because digital and social media have reshaped our world into one of micro-attention. There are over sixty billion messages shared on digital platforms each day, and the average person is exposed to between four thousand to ten thousand ads a day. This bombardment of stimuli has changed the way we communicate and market content both online and off. In fact, research shows that you have less than three seconds to capture a person’s attention. With such a short window of time, we need to hook audiences quickly, efficiently, and consistently if we want to successfully fuel brand awareness and growth. Luckily, Brendan Kane, an out of the box thinker and strategist who’s built platforms for celebrities like Taylor Swift and Rhianna, and worked with Fortune 500 companies like Paramount, Viacom, and MTV has mastered the art of standing out. In  Hook Point: How to Stand Out in a 3-Second World  he reveals the power of hook points—a communication tool that helps marketers package their messages in a succinct, attention-grabbing way that leads to better opportunities both online and off. Whether you’re promoting a brand, product, or service this book is the essential guide for making it in our three-second world.",4.4,732,"Independently published (March 9, 2022)","English","304","15.8 ounces","6 x 0.69 x 9 inches"
